avg_personal_score,min_personal_score,max_loops,total_latency,total_token_usage,num_agents_triggered_enhancement,num_nodes,num_edges,clustering_coefficient,transitivity,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,pagerank_entropy,heterogeneity_score,collective_score,humaneval_score,gsm8k_score,mmlu_score,label_mas_score
0.3,0.3,1,2.522756576538086,449,0,4,0,0.5,0.0,0.0,0.5,0.5,1.0,0.01,0.3,0.40963320537594133,0.45179462671197995,0.7471778743524427,0.48979056557205314
0.3,0.3,1,1.2119150161743164,445,0,4,0,0.5,0.0,0.0,0.5,0.5,1.0,0.01,0.3,0.7152361028552113,0.7477916825911142,0.3124156502897497,0.6444386862628898
0.3,0.3,1,1.1935780048370361,439,0,4,0,0.5,0.0,0.0,0.5,0.5,1.0,0.01,0.3,0.3669511053755319,0.1903306470114263,0.20047727803378154,0.28067020239795015
0.3,0.3,1,1.2332682609558105,449,0,4,0,0.5,0.0,0.0,0.5,0.5,1.0,0.01,0.3,0.09109865533605142,0.23680154372307155,0.48206934380437866,0.2130036595458229
0.075,0.0,2,2.3814492225646973,869,3,4,0,0.5,0.0,0.0,0.5,0.5,1.0,0.01,0.075,0.30782091538840595,0.5331581621764743,0.6663207620082008,0.4471220587487854
