avg_personal_score,min_personal_score,max_loops,total_latency,total_token_usage,num_agents_triggered_enhancement,num_nodes,num_edges,clustering_coefficient,transitivity,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,pagerank_entropy,heterogeneity_score,collective_score,humaneval_score,gsm8k_score,mmlu_score
0.4,0.0,2,21.246047258377075,1577,2,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.58,0.0,2,28.124855756759644,1083,3,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,0.0,0.0,0.0
0.0,0.0,2,14.355582237243652,980,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.5900000000000001,0.0,2,14.844250440597534,2148,1,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,15.629143953323364,255,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.39,0.0,2,12.471596717834473,2069,2,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.3,0.0,2,19.466943740844727,604,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,14.163660049438477,213,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.2,0.0,2,13.843610048294067,821,3,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,0.0,0.0,0.0
0.0,0.0,2,11.502981662750244,185,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.536712169647217,331,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.1,0.0,2,12.232779264450073,171,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,11.030399322509766,229,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.166276693344116,149,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.05873441696167,145,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.150129079818726,151,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.832106828689575,171,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.627620220184326,307,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.884849071502686,189,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,10.170855522155762,233,4,5,4,0.0,0,0.4,0.16666666666666666,0.27166666666666667,2.2028131076237485,0.006068001088003139,0.5,1.0,0.0,0.0
0.0,0.0,2,8.192703008651733,92,3,3,2,0.0,0,0.6666666666666666,0.16666666666666666,0.38888888888888884,1.489455519128668,0.01404688850271761,0.5,0.0,0.0,0.0
0.0,0.0,2,8.015996932983398,48,3,3,2,0.0,0,0.6666666666666666,0.16666666666666666,0.38888888888888884,1.489455519128668,0.01404688850271761,0.5,0.0,0.0,0.0
0.0,0.0,2,8.079953670501709,67,3,3,2,0.0,0,0.6666666666666666,0.16666666666666666,0.38888888888888884,1.489455519128668,0.01404688850271761,0.5,0.0,0.0,0.0
